message,symbols,fixed attribute values
"(3, 6, 3, 6, 6, 0)","{3, 6}","(1, '_', 0, 2, '_')"
"(3, 6, 5, 1, 1, 0)","{1, 3, 5, 6}","(2, 0, 0, 3, 2)"
"(3, 6, 5, 6, 1, 0)","{1, 3, 5, 6}","(1, 0, 0, 3, 2)"
"(3, 6, 6, 1, 1, 0)","{1, 3, 6}","('_', 0, 0, '_', '_')"
"(3, 6, 6, 1, 4, 0)","{1, 3, 4, 6}","(1, 0, 0, 0, '_')"
"(3, 6, 6, 1, 7, 0)","{1, 3, 6, 7}","(2, 0, 0, 3, 2)"
"(3, 6, 6, 3, 6, 0)","{3, 6}","(1, '_', 0, 2, 0)"
"(3, 6, 6, 6, 1, 0)","{1, 3, 6}","('_', 0, 0, '_', '_')"
"(3, 6, 6, 6, 6, 0)","{3, 6}","('_', '_', 0, '_', '_')"
"(3, 6, 14, 1, 1, 0)","{1, 3, 6, 14}","(0, 0, 0, 1, 1)"
"(3, 6, 15, 15, 15, 0)","{3, 6, 15}","(0, 2, 0, '_', 3)"
"(3, 8, 3, 3, 3, 0)","{8, 3}","('_', 3, 0, '_', '_')"
"(3, 8, 3, 3, 8, 0)","{8, 3}","('_', 3, 0, '_', 3)"
"(3, 8, 3, 8, 3, 0)","{8, 3}","(2, 3, 0, '_', '_')"
"(3, 8, 3, 8, 8, 0)","{8, 3}","('_', 3, 0, '_', '_')"
"(3, 8, 8, 3, 3, 0)","{8, 3}","(2, 3, 0, '_', '_')"
"(3, 8, 8, 3, 6, 0)","{8, 3, 6}","(0, 3, 0, '_', '_')"
"(3, 8, 8, 3, 8, 0)","{8, 3}","('_', 3, 0, '_', '_')"
"(3, 8, 8, 5, 8, 0)","{8, 3, 5}","(1, 3, 0, 3, '_')"
"(3, 8, 8, 8, 3, 0)","{8, 3}","('_', 3, 0, '_', '_')"
"(3, 8, 8, 8, 8, 0)","{8, 3}","('_', 3, 0, '_', '_')"
